game_date,event_id,player,team,position,opp_team,is_home,stat_raw,stat,line,over_price,under_price,yes_price,no_price,num_books,sportsbooks,odds_type,game_time,home_team,away_team,source,scraped_at
2026-09-17,0fd1d4ee6d6e720e030e8cefb6a5a591,Allisha Gray,Atlanta Dream,,Connecticut Sun @ Atlanta Dream,True,3pm,3pm,1.5,-169.5,125.5,,,2,"draftkings,fanduel",sportsbook,2026-09-17T23:30:00Z,Atlanta Dream,Connecticut Sun,canonical-player-props-cache,2026-09-15T20:12:27.998435+00:00
2026-09-17,0fd1d4ee6d6e720e030e8cefb6a5a591,Allisha Gray,Atlanta Dream,,Connecticut Sun @ Atlanta Dream,True,player_assists,ast,2.5,-1.0,-133.0,,,2,"draftkings,fanduel",sportsbook,2026-09-17T23:30:00Z,Atlanta Dream,Connecticut Sun,canonical-player-props-cache,2026-09-15T20:12:27.998435+00:00
2026-09-17,0fd1d4ee6d6e720e030e8cefb6a5a591,Allisha Gray,Atlanta Dream,,Connecticut Sun @ Atlanta Dream,True,player_points_assists,pa,20.5,-131.0,-2.5,,,2,"draftkings,fanduel",sportsbook,2026-09-17T23:30:00Z,Atlanta Dream,Connecticut Sun,canonical-player-props-cache,2026-09-15T20:12:27.998435+00:00
2026-09-17,0fd1d4ee6d6e720e030e8cefb6a5a591,Allisha Gray,Atlanta Dream,,Connecticut Sun @ Atlanta Dream,True,player_points_rebounds,pr,21.5,-120.5,-111.0,,,2,"draftkings,fanduel",sportsbook,2026-09-17T23:30:00Z,Atlanta Dream,Connecticut Sun,canonical-player-props-cache,2026-09-15T20:12:27.998435+00:00
2026-09-17,0fd1d4ee6d6e720e030e8cefb6a5a591,Allisha Gray,Atlanta Dream,,Connecticut Sun @ Atlanta Dream,True,player_points_rebounds_assists,pra,24.5,-109.5,-122.5,,,2,"draftkings,fanduel",sportsbook,2026-09-17T23:30:00Z,Atlanta Dream,Connecticut Sun,canonical-player-props-cache,2026-09-15T20:12:27.998435+00:00
2026-09-17,0fd1d4ee6d6e720e030e8cefb6a5a591,Allisha Gray,Atlanta Dream,,Connecticut Sun @ Atlanta Dream,True,player_points,pts,18.5,-110.0,-119.0,,,2,"draftkings,fanduel",sportsbook,2026-09-17T23:30:00Z,Atlanta Dream,Connecticut Sun,canonical-player-props-cache,2026-09-15T20:12:27.998435+00:00
2026-09-17,0fd1d4ee6d6e720e030e8cefb6a5a591,Allisha Gray,Atlanta Dream,,Connecticut Sun @ Atlanta Dream,True,player_rebounds_assists,ra,5.5,-130.0,-103.5,,,2,"draftkings,fanduel",sportsbook,2026-09-17T23:30:00Z,Atlanta Dream,Connecticut Sun,canonical-player-props-cache,2026-09-15T20:12:27.998435+00:00
2026-09-17,0fd1d4ee6d6e720e030e8cefb6a5a591,Allisha Gray,Atlanta Dream,,Connecticut Sun @ Atlanta Dream,True,player_rebounds,reb,3.5,123.0,-166.0,,,2,"draftkings,fanduel",sportsbook,2026-09-17T23:30:00Z,Atlanta Dream,Connecticut Sun,canonical-player-props-cache,2026-09-15T20:12:27.998435+00:00
2026-09-17,0fd1d4ee6d6e720e030e8cefb6a5a591,Angel Reese,Atlanta Dream,,Connecticut Sun @ Atlanta Dream,True,player_assists,ast,2.5,-113.0,-117.5,,,2,"draftkings,fanduel",sportsbook,2026-09-17T23:30:00Z,Atlanta Dream,Connecticut Sun,canonical-player-props-cache,2026-09-15T20:12:27.998435+00:00
2026-09-17,0fd1d4ee6d6e720e030e8cefb6a5a591,Angel Reese,Atlanta Dream,,Connecticut Sun @ Atlanta Dream,True,player_points_assists,pa,18.5,-1.5,-132.5,,,2,"draftkings,fanduel",sportsbook,2026-09-17T23:30:00Z,Atlanta Dream,Connecticut Sun,canonical-player-props-cache,2026-09-15T20:12:27.998435+00:00
