game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-08-02,Indiana Fever,Damiris Dantas,,,Out,OUT,Not With Team,Not With Team; matchup=(ET) IND@MIN; game_time=01:00,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Indiana Fever,Bree Hall,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) IND@MIN; game_time=01:00,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Indiana Fever,Ugonne Onyiah,,,Out,OUT,Not With Team,Not With Team; matchup=(ET) IND@MIN; game_time=01:00,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Minnesota Lynx,Liatu King,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) IND@MIN; game_time=01:00,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Los Angeles Sparks,Tonie Morgan,,,Out,OUT,Coach's Decision - Coach’s decision,Coach's Decision - Coach’s decision; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Los Angeles Sparks,Alissa Pili,,,Out,OUT,Coach's Decision - Coach’s decision,Coach's Decision - Coach’s decision; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Los Angeles Sparks,Kelsey Plum,,,Out,OUT,Not With Team,Not With Team; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Portland Fire,Sarah Ashlee Barker,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Portland Fire,Sania Feagin,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Portland Fire,Jordan Harrison,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Connecticut Sun,Aaliyah Edwards,,,Out,OUT,Injury/Illness - Right Knee; -,Injury/Illness - Right Knee; -; matchup=(ET) CON@DAL; game_time=07:00,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Connecticut Sun,Brittney Griner,,,Questionable,QUESTIONABLE,Injury/Illness - Left Knee; -,Injury/Illness - Left Knee; -; matchup=(ET) CON@DAL; game_time=07:00,,False,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Toronto Tempo,Marina Mabrey,,,Out,OUT,Injury/Illness - Neck; Injury,Injury/Illness - Neck; Injury; matchup=(ET) TOR@GSV; game_time=08:30,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Toronto Tempo,Aneesah Morrow,,,Out,OUT,,; matchup=(ET) TOR@GSV; game_time=08:30,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Toronto Tempo,Brittney Sykes,,,Out,OUT,Injury/Illness - Left Foot; Injury,Injury/Illness - Left Foot; Injury; matchup=(ET) TOR@GSV; game_time=08:30,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Golden State Valkyries,Gabby Williams,,,Questionable,QUESTIONABLE,Injury/Illness - Na; Reconditioning,Injury/Illness - Na; Reconditioning; matchup=(ET) TOR@GSV; game_time=08:30,,False,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Las Vegas Aces,Cheyenne Parker-Tyus,,,Out,OUT,Not With Team,Not With Team; matchup=(ET) LVA@ATL; game_time=07:00,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Atlanta Dream,Te-Hina Paopao,,,Out,OUT,Injury/Illness - Right Leg; N/A,Injury/Illness - Right Leg; N/A; matchup=(ET) LVA@ATL; game_time=07:00,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,Seattle Storm,Taina Mair,,,Out,OUT,Coach's Decision - Coach's Decision,Coach's Decision - Coach's Decision; matchup=SEA@NYL; game_time=07:00,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,New York Liberty,Leonie Fiebich,,,Out,OUT,Injury/Illness - Left Foot; L. Foot,Injury/Illness - Left Foot; L. Foot; matchup=SEA@NYL; game_time=07:00,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
2026-08-02,New York Liberty,Satou Sabally,,,Out,OUT,Concussion Protocol,Concussion Protocol; matchup=SEA@NYL; game_time=07:00,,True,official_wnba_pdf,2026-08-02T21:09:41.036621+00:00
