prediction_id,ranking_key,prediction_generated_at_utc,date,game,player,stat,side,issued_line,issued_odds,issued_book,issued_implied_probability,v5_probability,close_snapshot_id,close_captured_at_utc,close_minutes_to_tip,close_line,close_odds,close_book,close_book_key,close_market_key,close_implied_probability,line_clv,price_clv_probability,market_probability_shift,v5_edge_at_close,same_book_close,same_line_close,clv_evidence_class,outcome,actual
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-13T22:14:23.905058+00:00|0.326781,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-13T22:14:23.905058+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,7.5,-141.0,Caesars,0.585062,0.326781,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,1.0,-0.080112,-0.080112,-0.178169,False,False,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-13T22:14:23.905058+00:00|0.204129,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-13T22:14:23.905058+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,8.5,108.0,BetRivers,0.480769,0.204129,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,0.0,0.024181,0.024181,-0.300821,False,True,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-13T22:26:02.084717+00:00|0.326781,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-13T22:26:02.084717+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,7.5,-141.0,Caesars,0.585062,0.326781,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,1.0,-0.080112,-0.080112,-0.178169,False,False,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-13T22:26:02.084717+00:00|0.204129,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-13T22:26:02.084717+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,8.5,108.0,BetRivers,0.480769,0.204129,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,0.0,0.024181,0.024181,-0.300821,False,True,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-13T23:01:54.176482+00:00|0.326781,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-13T23:01:54.176482+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,7.5,-141.0,Caesars,0.585062,0.326781,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,1.0,-0.080112,-0.080112,-0.178169,False,False,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-13T23:01:54.176482+00:00|0.204129,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-13T23:01:54.176482+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,8.5,108.0,BetRivers,0.480769,0.204129,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,0.0,0.024181,0.024181,-0.300821,False,True,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-13T23:26:09.905124+00:00|0.326781,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-13T23:26:09.905124+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,7.5,-141.0,Caesars,0.585062,0.326781,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,1.0,-0.080112,-0.080112,-0.178169,False,False,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-13T23:26:09.905124+00:00|0.204129,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-13T23:26:09.905124+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,8.5,108.0,BetRivers,0.480769,0.204129,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,0.0,0.024181,0.024181,-0.300821,False,True,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-14T00:02:58.076237+00:00|0.326781,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-14T00:02:58.076237+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,7.5,-141.0,Caesars,0.585062,0.326781,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,1.0,-0.080112,-0.080112,-0.178169,False,False,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-14T00:02:58.076237+00:00|0.204129,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-14T00:02:58.076237+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,8.5,108.0,BetRivers,0.480769,0.204129,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,0.0,0.024181,0.024181,-0.300821,False,True,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-14T00:44:50.692907+00:00|0.326781,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-14T00:44:50.692907+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,7.5,-141.0,Caesars,0.585062,0.326781,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,1.0,-0.080112,-0.080112,-0.178169,False,False,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over|2026-08-14T00:44:50.692907+00:00|0.204129,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|over,2026-08-14T00:44:50.692907+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,OVER,8.5,108.0,BetRivers,0.480769,0.204129,8be5482f4b824152ca3bc59a,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-102.0,DraftKings,draftkings,player_rebounds,0.50495,0.0,0.024181,0.024181,-0.300821,False,True,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|under|2026-08-13T22:14:23.905058+00:00|0.461523,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|under,2026-08-13T22:14:23.905058+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,UNDER,7.5,124.0,BetOnline.ag,0.446429,0.461523,e93cf5ca02b4179f0c299da2,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-133.0,DraftKings,draftkings,player_rebounds,0.570815,-1.0,0.124387,0.124387,-0.109292,False,False,EXPLICIT_MARKET_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|under|2026-08-13T22:14:23.905058+00:00|0.528874,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|under,2026-08-13T22:14:23.905058+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,UNDER,8.5,-140.0,DraftKings,0.583333,0.528874,e93cf5ca02b4179f0c299da2,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-133.0,DraftKings,draftkings,player_rebounds,0.570815,0.0,-0.012518,-0.012518,-0.041941,True,True,EXPLICIT_SAME_BOOK_CLOSE,PENDING,
2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|under|2026-08-13T22:26:02.084717+00:00|0.461523,2026-08-13|breanna stewart|los angeles sparks @ new york liberty|reb|under,2026-08-13T22:26:02.084717+00:00,2026-08-13,Los Angeles Sparks @ New York Liberty,Breanna Stewart,REB,UNDER,7.5,124.0,BetOnline.ag,0.446429,0.461523,e93cf5ca02b4179f0c299da2,2026-08-14T00:02:58.347544+00:00,7.03,8.5,-133.0,DraftKings,draftkings,player_rebounds,0.570815,-1.0,0.124387,0.124387,-0.109292,False,False,EXPLICIT_MARKET_CLOSE,PENDING,
