date,player,game,market,side,line,odds,v5_probability,market_probability,edge,expected_value,movement,steam,reverse_move,injury_status,decision_state
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,3PM,OVER,1.5,-137.0,,0.5780590717299579,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,3PM,UNDER,1.5,110.0,,0.47619047619047616,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,AST,OVER,2.5,-137.0,,0.5780590717299579,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,AST,UNDER,2.5,115.0,,0.46511627906976744,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PA,OVER,21.5,-128.0,,0.5614035087719298,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PA,OVER,22.5,-114.0,,0.5327102803738317,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PA,UNDER,21.5,-106.0,,0.5145631067961165,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PA,UNDER,22.5,-114.0,,0.5327102803738317,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PR,OVER,22.5,-117.0,,0.5391705069124424,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PR,UNDER,22.5,-106.0,,0.5145631067961165,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PRA,OVER,25.5,-112.0,,0.5283018867924528,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PRA,UNDER,25.5,-106.0,,0.5145631067961165,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PTS,OVER,18.5,-122.0,,0.5495495495495496,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PTS,OVER,19.5,100.0,,0.5,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PTS,UNDER,18.5,-105.0,,0.5121951219512195,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,PTS,UNDER,19.5,-114.0,,0.5327102803738317,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,RA,OVER,6.5,110.0,,0.47619047619047616,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,RA,UNDER,6.5,-139.0,,0.5815899581589958,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,REB,OVER,3.5,122.0,0.500495,0.45045045045045046,0.050044549549549566,0.1110989,0.0,False,False,SPECULATIVE,BUY_NOW
2026-08-20,Allisha Gray,Atlanta Dream @ Los Angeles Sparks,REB,UNDER,3.5,-137.0,0.477324,0.5780590717299579,-0.10073507172995783,-0.1742643211678831,0.0,False,False,SPECULATIVE,REMOVE
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,3PM,OVER,0.5,285.0,,0.2597402597402597,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,3PM,UNDER,0.5,-402.0,,0.8007968127490039,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,AST,OVER,2.5,-119.0,,0.54337899543379,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,AST,UNDER,2.5,-109.0,,0.5215311004784688,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PA,OVER,18.5,-126.0,,0.5575221238938053,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PA,UNDER,18.5,100.0,,0.5,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PR,OVER,29.5,-102.0,,0.504950495049505,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PR,UNDER,29.5,-128.0,,0.5614035087719298,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PRA,OVER,31.5,-122.0,,0.5495495495495496,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PRA,OVER,32.5,-120.0,,0.5454545454545454,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PRA,UNDER,31.5,-104.0,,0.5098039215686274,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PTS,OVER,15.5,-130.0,,0.5652173913043478,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PTS,OVER,16.5,103.0,,0.49261083743842365,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PTS,OVER,17.5,114.0,,0.4672897196261682,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PTS,UNDER,15.5,-102.0,,0.504950495049505,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,PTS,UNDER,16.5,-127.0,,0.5594713656387665,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,RA,OVER,15.5,-122.0,,0.5495495495495496,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,RA,UNDER,15.5,-102.0,,0.504950495049505,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,REB,OVER,12.5,-130.0,,0.5652173913043478,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,REB,OVER,13.5,-108.0,,0.5192307692307693,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Angel Reese,Atlanta Dream @ Los Angeles Sparks,REB,UNDER,12.5,100.0,,0.5,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,3PM,OVER,1.5,144.0,,0.4098360655737705,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,3PM,UNDER,1.5,-186.0,,0.6503496503496503,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,AST,OVER,2.5,-148.0,,0.5967741935483871,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,AST,OVER,3.5,144.0,,0.4098360655737705,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,AST,UNDER,2.5,118.0,,0.45871559633027525,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,AST,UNDER,3.5,-189.0,,0.6539792387543253,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PA,OVER,11.5,-116.0,,0.5370370370370371,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PA,OVER,12.5,102.0,,0.49504950495049505,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PA,UNDER,11.5,-117.0,,0.5391705069124424,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PA,UNDER,12.5,-136.0,,0.576271186440678,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PR,OVER,11.5,-111.0,,0.5260663507109005,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PR,UNDER,11.5,-108.0,,0.5192307692307693,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PRA,OVER,14.5,-112.0,,0.5283018867924528,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PRA,OVER,15.5,103.0,,0.49261083743842365,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PRA,UNDER,14.5,-102.0,,0.504950495049505,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PRA,UNDER,15.5,-133.0,,0.5708154506437768,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PTS,OVER,8.5,-109.0,,0.5215311004784688,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PTS,OVER,9.5,120.0,,0.45454545454545453,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,PTS,UNDER,8.5,100.0,,0.5,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,RA,OVER,5.5,-132.0,,0.5689655172413793,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,RA,UNDER,5.5,100.0,,0.5,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,REB,OVER,2.5,-128.0,,0.5614035087719298,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Ariel Atkins,Atlanta Dream @ Los Angeles Sparks,REB,UNDER,2.5,-101.0,,0.5024875621890548,,,0.0,False,False,SPECULATIVE,UNSCORED
2026-08-20,Cameron Brink,Atlanta Dream @ Los Angeles Sparks,3PM,OVER,0.5,-143.0,,0.588477366255144,,,0.0,False,False,PROBABLE,UNSCORED
2026-08-20,Cameron Brink,Atlanta Dream @ Los Angeles Sparks,3PM,UNDER,0.5,105.0,,0.4878048780487805,,,0.0,False,False,PROBABLE,UNSCORED
2026-08-20,Cameron Brink,Atlanta Dream @ Los Angeles Sparks,PA,OVER,8.5,-109.0,,0.5215311004784688,,,0.0,False,False,PROBABLE,UNSCORED
