generated_at_utc,game_date,event_id,game,player,player_id,stat,side,sportsbook,sportsbook_key,line,odds,projection,projection_edge,model_probability,implied_probability,probability_edge,expected_value_per_dollar,model_mae,feature_ready,deployment_status,source,mae_ratio,uncertainty_penalty,governance_score,base_eligible,decision,decision_reason,governance_generated_at_utc
2026-08-03T19:54:18.487532+00:00,2026-08-03,9192db295ea37dc4616880169fa9e38d,Las Vegas Aces @ Atlanta Dream,Rhyne Howard,pl_18c31d08ca4a3a7c,threes,UNDER,FanDuel,fanduel,2.5,118,0.97,1.53,0.9385,0.4587,0.4798,1.0459,0.793,True,SHADOW_ONLY,sprint23_phase3_shadow,0.31720000000000004,0.31720000000000004,130.09400000000002,True,SHORTLIST,passed thresholds and portfolio exposure controls,2026-08-03T19:54:20.707640+00:00
2026-08-03T19:54:18.487532+00:00,2026-08-05,c1e9df8b911a50375b98c0b0dcfa0f7e,Toronto Tempo @ Golden State Valkyries,Marina Mabrey,pl_7897ca9d575458b3,threes,UNDER,FanDuel,fanduel,2.5,112,0.93,1.57,0.9428,0.4717,0.4711,0.9987,0.793,True,SHADOW_ONLY,sprint23_phase3_shadow,0.31720000000000004,0.31720000000000004,124.93199999999999,True,SHORTLIST,passed thresholds and portfolio exposure controls,2026-08-03T19:54:20.707640+00:00
2026-08-03T19:54:18.487532+00:00,2026-08-03,51369aa71fcd604bdf38a760b6bcc223,Seattle Storm @ New York Liberty,Breanna Stewart,pl_a9f0686367871e4e,reb,UNDER,FanDuel,fanduel,8.5,104,4.42,4.08,0.9758,0.4902,0.4856,0.9906,1.651,True,SHADOW_ONLY,sprint23_phase3_shadow,0.19423529411764706,0.19423529411764706,132.47129411764706,True,WATCH,player exposure limit reached,2026-08-03T19:54:20.707640+00:00
2026-08-03T19:54:18.487532+00:00,2026-08-03,9192db295ea37dc4616880169fa9e38d,Las Vegas Aces @ Atlanta Dream,Rhyne Howard,pl_18c31d08ca4a3a7c,threes,UNDER,DraftKings,draftkings,2.5,112,0.97,1.53,0.9385,0.4717,0.4668,0.9896,0.793,True,SHADOW_ONLY,sprint23_phase3_shadow,0.31720000000000004,0.31720000000000004,123.684,True,WATCH,passed minimum thresholds; subject to exposure controls,2026-08-03T19:54:20.707640+00:00
2026-08-03T19:54:18.487532+00:00,2026-08-03,51369aa71fcd604bdf38a760b6bcc223,Seattle Storm @ New York Liberty,Sabrina Ionescu,pl_5718a935043c616f,ast,UNDER,DraftKings,draftkings,5.5,113,3.22,2.28,0.9336,0.4695,0.4641,0.9885,1.21,True,SHADOW_ONLY,sprint23_phase3_shadow,0.22,0.22,126.856,True,WATCH,player exposure limit reached,2026-08-03T19:54:20.707640+00:00
2026-08-03T19:54:18.487532+00:00,2026-08-03,51369aa71fcd604bdf38a760b6bcc223,Seattle Storm @ New York Liberty,Natisha Hiedeman,pl_2396747f40933499,pra,UNDER,FanDuel,fanduel,24.5,-102,7.11,17.39,0.9953,0.505,0.4904,0.9712,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow,0.21779591836734696,0.21779591836734696,156.96808163265305,True,SHORTLIST,passed thresholds and portfolio exposure controls,2026-08-03T19:54:20.707640+00:00
2026-08-03T19:54:18.487532+00:00,2026-08-05,c1e9df8b911a50375b98c0b0dcfa0f7e,Toronto Tempo @ Golden State Valkyries,Marina Mabrey,pl_7897ca9d575458b3,threes,UNDER,DraftKings,draftkings,2.5,109,0.93,1.57,0.9428,0.4785,0.4643,0.9704,0.793,True,SHADOW_ONLY,sprint23_phase3_shadow,0.31720000000000004,0.31720000000000004,121.69400000000002,True,WATCH,passed minimum thresholds; subject to exposure controls,2026-08-03T19:54:20.707640+00:00
2026-08-03T19:54:18.487532+00:00,2026-08-03,51369aa71fcd604bdf38a760b6bcc223,Seattle Storm @ New York Liberty,Sabrina Ionescu,pl_5718a935043c616f,ast,UNDER,FanDuel,fanduel,5.5,110,3.22,2.28,0.9336,0.4762,0.4574,0.9605,1.21,True,SHADOW_ONLY,sprint23_phase3_shadow,0.22,0.22,123.654,True,WATCH,passed minimum thresholds; subject to exposure controls,2026-08-03T19:54:20.707640+00:00
2026-08-03T19:54:18.487532+00:00,2026-08-03,51369aa71fcd604bdf38a760b6bcc223,Seattle Storm @ New York Liberty,Jonquel Jones,pl_0ff64046d8bcbd2b,threes,UNDER,FanDuel,fanduel,1.5,104,-0.2,1.7,0.9562,0.4902,0.466,0.9507,0.793,True,SHADOW_ONLY,sprint23_phase3_shadow,0.5286666666666667,0.5286666666666667,115.85666666666667,False,REJECT,failed minimum governance thresholds,2026-08-03T19:54:20.707640+00:00
2026-08-03T19:54:18.487532+00:00,2026-08-05,c1e9df8b911a50375b98c0b0dcfa0f7e,Toronto Tempo @ Golden State Valkyries,Veronica Burton,pl_1241fddfc0d9e94c,pra,UNDER,FanDuel,fanduel,21.5,100,8.52,12.98,0.9739,0.5,0.4739,0.9477,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow,0.24818604651162793,0.24818604651162793,144.20027906976742,True,SHORTLIST,passed thresholds and portfolio exposure controls,2026-08-03T19:54:20.707640+00:00
